specobjid,plate,mjd,fiberid,obj_class,redshift,snMedian
6914285022771173376,6141,56210,486,STAR,-0.0009816196,6.097731
553994738890467328,492,51955,189,GALAXY,0.0558907,21.85435
624932210675312640,555,52266,210,GALAXY,0.1824436,16.28158
9951845351135926272,8839,57846,58,QSO,1.724261,6.219797
3214466848951134208,2855,54466,82,STAR,-0.0002117832,40.63591
349057591810222080,310,51990,104,GALAXY,0.1525726,12.53888
2227146622234552320,1978,53473,424,GALAXY,0.03663669,14.27105
1293725288919754752,1149,53003,241,STAR,0.0002355971,32.29391
1181131720594843648,1049,52751,228,GALAXY,0.08458374,15.05796
1274594059796637696,1132,52903,274,STAR,-0.0001428266,38.89466
2636985187954616320,2342,53742,464,GALAXY,0.09446003,13.33526
1786841684793911296,1587,52964,140,GALAXY,0.08056505,21.7538
5101540532167137280,4531,55563,320,GALAXY,0.4280256,5.824343
593378977012279296,527,52342,108,GALAXY,0.08428863,16.41499
10295425689365796864,9144,57666,716,STAR,-0.0006388938,43.86629
2558080659646081024,2272,53713,131,GALAXY,0.06899835,16.67488
2425338558828013568,2154,54539,546,GALAXY,0.09912489,11.30997
7530047271842633728,6688,56412,104,QSO,0.3375127,9.09142
3002944170953382912,2667,54142,615,STAR,5.98527e-05,27.92336
8459157418353645568,7513,56780,987,QSO,1.853024,6.802727
6908646727076829184,6136,56206,454,GALAXY,0.07513247,19.79587
319817178792617984,284,51943,224,GALAXY,0.1036202,14.95165
1157533454515070976,1028,52884,394,GALAXY,0.1174535,17.44768
9968973261751736320,8854,57450,929,QSO,1.638153,6.139037
2232667269597521920,1983,53442,28,QSO,0.1596468,13.25827
3176326988382182400,2821,54393,594,STAR,-0.0004009767,9.180449
4961990521755293696,4407,55884,544,GALAXY,0.3002525,5.955533
2468122475259521024,2192,54232,545,STAR,-0.0002432314,30.95982
5119614859596814336,4547,55893,538,GALAXY,0.3629893,5.008189
2702161763733891072,2400,53765,7,STAR,-0.0005344037,31.76051
12811775435349448704,11379,58438,583,QSO,1.132964,10.40158
523669107929802752,465,51910,457,GALAXY,0.2871486,7.167576
4819104581287172096,4280,55503,920,GALAXY,0.2455202,9.508003
989826586490464256,879,52365,584,GALAXY,0.2314913,8.013088
2499556680732272640,2220,53795,214,GALAXY,0.1048121,15.69028
369351832578844672,328,52282,206,GALAXY,0.06007859,26.26981
5806315396983445504,5157,55923,180,QSO,3.21603,5.596579
3857424698686152704,3426,54977,333,STAR,-9.128371e-05,36.48222
6446957403573606400,5726,56626,198,STAR,1.05909e-05,7.915027
2427499923575433216,2156,54525,217,GALAXY,0.1113081,10.65589
706064347008362496,627,52144,455,GALAXY,0.1394209,12.99288
4245833512903792640,3771,55544,236,GALAXY,0.3107619,5.287114
5119712716131686400,4547,55893,894,GALAXY,0.2606038,15.21844
1180063544796801024,1048,52736,438,GALAXY,0.1733561,8.924265
7526855389587200000,6685,56412,780,QSO,2.086744,8.725159
2840806345244960768,2523,54572,585,GALAXY,0.06851062,25.27344
